id,team1,team2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,winner_runs,winner_wickets
335982,Royal Challengers Bangalore,Kolkata Knight Riders,2007/08,2008-04-18,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,BB McCullum,Kolkata Knight Riders,140,
335983,Punjab Kings,Chennai Super Kings,2007/08,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,MEK Hussey,Chennai Super Kings,33,
335984,Delhi Capitals,Rajasthan Royals,2007/08,2008-04-19,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,MF Maharoof,Delhi Capitals,,9
335986,Kolkata Knight Riders,Sunrisers Hyderabad,2007/08,2008-04-20,Eden Gardens,Kolkata,Sunrisers Hyderabad,bat,DJ Hussey,Kolkata Knight Riders,,5
335985,Mumbai Indians,Royal Challengers Bangalore,2007/08,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,bat,MV Boucher,Royal Challengers Bangalore,,5
335987,Rajasthan Royals,Punjab Kings,2007/08,2008-04-21,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,SR Watson,Rajasthan Royals,,6
335988,Sunrisers Hyderabad,Delhi Capitals,2007/08,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,V Sehwag,Delhi Capitals,,9
335989,Chennai Super Kings,Mumbai Indians,2007/08,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,ML Hayden,Chennai Super Kings,6,
335990,Sunrisers Hyderabad,Rajasthan Royals,2007/08,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,YK Pathan,Rajasthan Royals,,3
335991,Punjab Kings,Mumbai Indians,2007/08,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,KC Sangakkara,Punjab Kings,66,
335993,Chennai Super Kings,Kolkata Knight Riders,2007/08,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,JDP Oram,Chennai Super Kings,,9
335992,Royal Challengers Bangalore,Rajasthan Royals,2007/08,2008-04-26,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,SR Watson,Rajasthan Royals,,7
335994,Mumbai Indians,Sunrisers Hyderabad,2007/08,2008-04-27,Dr DY Patil Sports Academy,Mumbai,Sunrisers Hyderabad,field,AC Gilchrist,Sunrisers Hyderabad,,10
335995,Punjab Kings,Delhi Capitals,2007/08,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Capitals,bat,SM Katich,Punjab Kings,,4
