id,season,team1,team2,venue,city,team1_won_toss,toss_decision_bat,target
335982,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,1,0,0
335983,2007/08,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,1,0
335984,2007/08,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi,0,1,1
335986,2007/08,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,0,1,1
335985,2007/08,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,1,1,0
335987,2007/08,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Jaipur,0,1,1
335988,2007/08,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1,1,0
335989,2007/08,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,0,0,1
335990,2007/08,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0,0,0
335991,2007/08,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,0,1
335993,2007/08,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,0,1,1
335992,2007/08,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,0,0,0
335994,2007/08,Mumbai Indians,Sunrisers Hyderabad,Dr DY Patil Sports Academy,Mumbai,0,0,0
335995,2007/08,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,1,1
335996,2007/08,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,0,1,0
335997,2007/08,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,1,1,0
335998,2007/08,Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,0,0,1
335999,2007/08,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0,0,0
336000,2007/08,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,1,1,1
336001,2007/08,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai,1,1,0
336034,2007/08,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,0,0,1
336003,2007/08,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,1,1
336004,2007/08,Mumbai Indians,Delhi Capitals,Dr DY Patil Sports Academy,Mumbai,0,0,1
336005,2007/08,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,0,1,1
336006,2007/08,Royal Challengers Bangalore,Punjab Kings,M Chinnaswamy Stadium,Bangalore,0,0,0
336007,2007/08,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai,0,0,0
336008,2007/08,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,1,0,1
336010,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,1,1,1
336009,2007/08,Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,Delhi,0,0,0
336011,2007/08,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,1,0,1
336013,2007/08,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk",Chennai,0,0,1
336014,2007/08,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0,1,0
336015,2007/08,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,1,0,1
336016,2007/08,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,1,1
336017,2007/08,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata,1,1,1
336018,2007/08,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,1,0,1
336020,2007/08,Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,0,0,1
336021,2007/08,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,1,0,1
336023,2007/08,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,0,0,1
336022,2007/08,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,Delhi,1,1,0
336025,2007/08,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,1,1,0
336024,2007/08,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1,0,0
336026,2007/08,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,0,0,0
336027,2007/08,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,0,0,0
336028,2007/08,Mumbai Indians,Punjab Kings,Wankhede Stadium,Mumbai,1,0,0
336029,2007/08,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,0,1,0
336031,2007/08,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,0,1
336032,2007/08,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,Delhi,1,0,1
336033,2007/08,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,0,1,0
336002,2007/08,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1,1,0
336035,2007/08,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata,0,1,1
336036,2007/08,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,1,0,1
336037,2007/08,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1,1,0
336019,2007/08,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,0,1
336012,2007/08,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,0,0,0
336038,2007/08,Delhi Capitals,Rajasthan Royals,Wankhede Stadium,Mumbai,1,0,0
336039,2007/08,Chennai Super Kings,Punjab Kings,Wankhede Stadium,Mumbai,0,1,1
336040,2007/08,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,0,0,0
392181,2009,Chennai Super Kings,Mumbai Indians,Newlands,Cape Town,1,0,0
392182,2009,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Cape Town,1,1,1
392184,2009,Sunrisers Hyderabad,Kolkata Knight Riders,Newlands,Cape Town,0,1,1
392183,2009,Delhi Capitals,Punjab Kings,Newlands,Cape Town,1,0,1
392185,2009,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Port Elizabeth,0,1,0
392186,2009,Punjab Kings,Kolkata Knight Riders,Kingsmead,Durban,0,0,0
392188,2009,Royal Challengers Bangalore,Sunrisers Hyderabad,Newlands,Cape Town,0,1,0
392189,2009,Chennai Super Kings,Delhi Capitals,Kingsmead,Durban,0,1,0
392191,2009,Royal Challengers Bangalore,Punjab Kings,Kingsmead,Durban,1,1,0
392192,2009,Sunrisers Hyderabad,Mumbai Indians,Kingsmead,Durban,1,1,1
392194,2009,Royal Challengers Bangalore,Delhi Capitals,St George's Park,Port Elizabeth,1,1,0
392195,2009,Punjab Kings,Rajasthan Royals,Newlands,Cape Town,1,1,1
392196,2009,Chennai Super Kings,Sunrisers Hyderabad,Kingsmead,Durban,0,0,0
392197,2009,Kolkata Knight Riders,Mumbai Indians,St George's Park,Port Elizabeth,0,1,0
392198,2009,Delhi Capitals,Rajasthan Royals,SuperSport Park,Centurion,1,1,0
392200,2009,Punjab Kings,Mumbai Indians,Kingsmead,Durban,1,1,1
392199,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,Durban,0,1,1
